title,url,date,adults_surveyed,results,agg_results_pct,category,description,statement
Would you support or oppose the government nationalising British Steel?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/04/11/e7dec/1,Conducted 11 April 2025,5046,"{'Strongly support': {'All': 28, 'Con': 28, 'Lab': 37, 'Lib Dem': 33, 'Reform': 36}, 'Somewhat support': {'All': 29, 'Con': 35, 'Lab': 32, 'Lib Dem': 32, 'Reform': 31}, 'Somewhat oppose': {'All': 5, 'Con': 8, 'Lab': 4, 'Lib Dem': 4, 'Reform': 5}, 'Strongly oppose': {'All': 4, 'Con': 7, 'Lab': 1, 'Lib Dem': 1, 'Reform': 6}, ""Don't know"": {'All': 33, 'Con': 22, 'Lab': 25, 'Lib Dem': 30, 'Reform': 23}}","{'All': {'support': 57, 'oppose': 9}, 'Con': {'support': 63, 'oppose': 15}, 'Lab': {'support': 69, 'oppose': 5}, 'Lib Dem': {'support': 65, 'oppose': 5}, 'Reform': {'support': 67, 'oppose': 11}}",Economy,Nationalisation of British Steel,"The U.K. SHOULD nationalize British Steel, bringing it under government ownership and control."
Would you support or oppose the United States becoming an associate member of the Commonwealth?,https://yougov.co.uk/topics/international/survey-results/daily/2025/04/01/49d2e/3,Conducted 1 April 2025,5001,"{'Strongly support': {'All': 5, 'Con': 6, 'Lab': 4, 'Lib Dem': 2, 'Reform': 20}, 'Somewhat support': {'All': 12, 'Con': 17, 'Lab': 11, 'Lib Dem': 7, 'Reform': 17}, 'Somewhat oppose': {'All': 15, 'Con': 15, 'Lab': 15, 'Lib Dem': 20, 'Reform': 13}, 'Strongly oppose': {'All': 35, 'Con': 35, 'Lab': 42, 'Lib Dem': 46, 'Reform': 20}, ""Don't know"": {'All': 32, 'Con': 28, 'Lab': 27, 'Lib Dem': 25, 'Reform': 30}}","{'All': {'support': 17, 'oppose': 50}, 'Con': {'support': 23, 'oppose': 50}, 'Lab': {'support': 15, 'oppose': 57}, 'Lib Dem': {'support': 9, 'oppose': 66}, 'Reform': {'support': 37, 'oppose': 33}}",International Relations,US membership in the Commonwealth,The U.K. SHOULD support the United States becoming an associate member of the Commonwealth.
Would you support or oppose the UK signing a defence and security partnership with the EU?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/03/20/16d9e/1,Conducted 20 March 2025,3551,"{'Strongly support': {'All': 36, 'Con': 31, 'Lab': 52, 'Lib Dem': 53, 'Reform': 16}, 'Somewhat support': {'All': 33, 'Con': 39, 'Lab': 31, 'Lib Dem': 28, 'Reform': 30}, 'Somewhat oppose': {'All': 5, 'Con': 6, 'Lab': 2, 'Lib Dem': 2, 'Reform': 11}, 'Strongly oppose': {'All': 5, 'Con': 6, 'Lab': 1, 'Lib Dem': 1, 'Reform': 22}, 'Don’t know': {'All': 22, 'Con': 18, 'Lab': 14, 'Lib Dem': 16, 'Reform': 21}}","{'All': {'support': 69, 'oppose': 10}, 'Con': {'support': 70, 'oppose': 12}, 'Lab': {'support': 83, 'oppose': 3}, 'Lib Dem': {'support': 81, 'oppose': 3}, 'Reform': {'support': 46, 'oppose': 33}}",Defence,UK-EU defence partnership,The U.K. SHOULD sign a defence and security partnership with the European Union.
Would you support or oppose the creation of a European army that included the United Kingdom?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/02/17/1e158/1,Conducted 17 February 2025,7300,"{'Strongly support': {'All': 15, 'Con': 14, 'Lab': 20, 'Lib Dem': 19, 'Reform': 8}, 'Somewhat support': {'All': 31, 'Con': 33, 'Lab': 38, 'Lib Dem': 40, 'Reform': 20}, 'Somewhat oppose': {'All': 13, 'Con': 17, 'Lab': 10, 'Lib Dem': 10, 'Reform': 15}, 'Strongly oppose': {'All': 15, 'Con': 18, 'Lab': 7, 'Lib Dem': 6, 'Reform': 39}, ""Don't know"": {'All': 26, 'Con': 18, 'Lab': 26, 'Lib Dem': 25, 'Reform': 19}}","{'All': {'support': 46, 'oppose': 28}, 'Con': {'support': 47, 'oppose': 35}, 'Lab': {'support': 58, 'oppose': 17}, 'Lib Dem': {'support': 59, 'oppose': 16}, 'Reform': {'support': 28, 'oppose': 54}}",Defence,European army including the UK,The U.K. SHOULD participate in the creation of a European army that would include British forces.
"From what you have seen and heard, do you support or oppose the government's decision to nationalise British Steel?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/04/14/d57f5/1,Conducted 14 April 2025,7769,"{'Strongly support': {'All': 28, 'Con': 25, 'Lab': 36, 'Lib Dem': 31, 'Reform': 34}, 'Somewhat support': {'All': 33, 'Con': 42, 'Lab': 34, 'Lib Dem': 36, 'Reform': 33}, 'Somewhat oppose': {'All': 6, 'Con': 6, 'Lab': 4, 'Lib Dem': 8, 'Reform': 6}, 'Strongly oppose': {'All': 2, 'Con': 3, 'Lab': 1, 'Lib Dem': 1, 'Reform': 5}, ""Don't know"": {'All': 31, 'Con': 22, 'Lab': 24, 'Lib Dem': 23, 'Reform': 23}}","{'All': {'support': 61, 'oppose': 8}, 'Con': {'support': 67, 'oppose': 9}, 'Lab': {'support': 70, 'oppose': 5}, 'Lib Dem': {'support': 67, 'oppose': 9}, 'Reform': {'support': 67, 'oppose': 11}}",Economy,Nationalisation of British Steel,The U.K. SHOULD nationalise British Steel to protect the industry and its workers.
"Would you support or oppose planting new areas of woodland in Gloucestershire, Wiltshire, Somerset to create a new national forest?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/03/24/8cf88/3,Conducted 24 March 2025,5447,"{'Strongly support': {'All': 54, 'Con': 51, 'Lab': 54, 'Lib Dem': 66, 'Reform': 54}, 'Somewhat support': {'All': 30, 'Con': 34, 'Lab': 32, 'Lib Dem': 27, 'Reform': 31}, 'Somewhat oppose': {'All': 2, 'Con': 2, 'Lab': 2, 'Lib Dem': 1, 'Reform': 1}, 'Strongly oppose': {'All': 1, 'Con': 1, 'Lab': 0, 'Lib Dem': 0, 'Reform': 1}, ""Don't know"": {'All': 13, 'Con': 12, 'Lab': 11, 'Lib Dem': 6, 'Reform': 13}}","{'All': {'support': 84, 'oppose': 3}, 'Con': {'support': 85, 'oppose': 3}, 'Lab': {'support': 86, 'oppose': 2}, 'Lib Dem': {'support': 93, 'oppose': 1}, 'Reform': {'support': 85, 'oppose': 2}}",Environment,Creating a new national forest,"The U.K. SHOULD create a new national forest by planting new areas of woodland in Gloucestershire, Wiltshire, and Somerset."
Would you support or oppose giving judges the option of sentencing criminals to house arrest?,https://yougov.co.uk/topics/politics/survey-results/daily/2024/10/23/343f1/1,Conducted 23 October 2024,6011,"{'Strongly support': {'All': 16, 'Con': 15, 'Lab': 20, 'Lib Dem': 17, 'Reform': 15}, 'Somewhat support': {'All': 41, 'Con': 38, 'Lab': 47, 'Lib Dem': 49, 'Reform': 31}, 'Somewhat oppose': {'All': 13, 'Con': 18, 'Lab': 12, 'Lib Dem': 11, 'Reform': 14}, 'Strongly oppose': {'All': 12, 'Con': 16, 'Lab': 7, 'Lib Dem': 6, 'Reform': 25}, ""Don't know"": {'All': 18, 'Con': 14, 'Lab': 15, 'Lib Dem': 16, 'Reform': 15}}","{'All': {'support': 57, 'oppose': 25}, 'Con': {'support': 53, 'oppose': 34}, 'Lab': {'support': 67, 'oppose': 19}, 'Lib Dem': {'support': 66, 'oppose': 17}, 'Reform': {'support': 46, 'oppose': 39}}",Legal,House arrest as a sentencing option,The U.K. SHOULD give judges the option of sentencing criminals to house arrest.
Would you support or oppose requiring people to submit ID documents to prove their age in order to buy knives online?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/01/22/b31b7/2,Conducted 22 January 2025,7353,"{'Strongly support': {'All': 73, 'Con': 82, 'Lab': 76, 'Lib Dem': 75, 'Reform': 74}, 'Somewhat support': {'All': 16, 'Con': 12, 'Lab': 16, 'Lib Dem': 17, 'Reform': 14}, 'Somewhat oppose': {'All': 4, 'Con': 2, 'Lab': 3, 'Lib Dem': 2, 'Reform': 5}, 'Strongly oppose': {'All': 2, 'Con': 1, 'Lab': 2, 'Lib Dem': 2, 'Reform': 4}, ""Don't know"": {'All': 5, 'Con': 3, 'Lab': 4, 'Lib Dem': 4, 'Reform': 4}}","{'All': {'support': 89, 'oppose': 6}, 'Con': {'support': 94, 'oppose': 3}, 'Lab': {'support': 92, 'oppose': 5}, 'Lib Dem': {'support': 92, 'oppose': 4}, 'Reform': {'support': 88, 'oppose': 9}}",Legal,Age verification for online knife purchases,The U.K. SHOULD require people to submit ID documents to prove their age in order to buy knives online.
Would you support or oppose increasing the NATO defence spending requirement from 2% of GDP to 3% of GDP?,https://yougov.co.uk/topics/international/survey-results/daily/2024/12/18/f55ab/1,Conducted 18 December 2024,7035,"{'Strongly support': {'All': 23, 'Con': 37, 'Lab': 21, 'Lib Dem': 22, 'Reform': 33}, 'Somewhat support': {'All': 27, 'Con': 31, 'Lab': 30, 'Lib Dem': 35, 'Reform': 24}, 'Somewhat oppose': {'All': 12, 'Con': 10, 'Lab': 15, 'Lib Dem': 11, 'Reform': 8}, 'Strongly oppose': {'All': 9, 'Con': 6, 'Lab': 6, 'Lib Dem': 5, 'Reform': 16}, ""Don't know"": {'All': 28, 'Con': 15, 'Lab': 28, 'Lib Dem': 27, 'Reform': 19}}","{'All': {'support': 50, 'oppose': 21}, 'Con': {'support': 68, 'oppose': 16}, 'Lab': {'support': 51, 'oppose': 21}, 'Lib Dem': {'support': 57, 'oppose': 16}, 'Reform': {'support': 57, 'oppose': 24}}",Defence,NATO defence spending requirements,The U.K. SHOULD increase its NATO defence spending commitment from 2% of GDP to 3% of GDP.
Would you support or oppose changing the two-child benefit cap so that parents with children under the age of five are exempt?,https://yougov.co.uk/topics/politics/survey-results/daily/2025/02/27/bca88/2,Conducted 27 February 2025,4938,"{'Strongly support': {'All': 14, 'Con': 7, 'Lab': 19, 'Lib Dem': 17, 'Reform': 9}, 'Somewhat support': {'All': 17, 'Con': 17, 'Lab': 23, 'Lib Dem': 18, 'Reform': 12}, 'Somewhat oppose': {'All': 13, 'Con': 15, 'Lab': 15, 'Lib Dem': 12, 'Reform': 14}, 'Strongly oppose': {'All': 18, 'Con': 27, 'Lab': 12, 'Lib Dem': 14, 'Reform': 28}, ""Don't know"": {'All': 38, 'Con': 33, 'Lab': 32, 'Lib Dem': 38, 'Reform': 36}}","{'All': {'support': 31, 'oppose': 31}, 'Con': {'support': 24, 'oppose': 42}, 'Lab': {'support': 42, 'oppose': 27}, 'Lib Dem': {'support': 35, 'oppose': 26}, 'Reform': {'support': 21, 'oppose': 42}}",Welfare,Two-child benefit cap exemptions,The U.K. SHOULD exempt parents with children under the age of five from the two-child benefit cap.
Would you support or oppose banning children under the age of 16 from having social media accounts?,https://yougov.co.uk/topics/technology/survey-results/daily/2024/11/29/ba0bc/1,Conducted 29 November 2024,4391,"{'Strongly support': {'All': 36, 'Con': 45, 'Lab': 35, 'Lib Dem': 34, 'Reform': 42}, 'Somewhat support': {'All': 36, 'Con': 36, 'Lab': 37, 'Lib Dem': 42, 'Reform': 32}, 'Somewhat oppose': {'All': 14, 'Con': 10, 'Lab': 15, 'Lib Dem': 14, 'Reform': 13}, 'Strongly oppose': {'All': 5, 'Con': 3, 'Lab': 5, 'Lib Dem': 3, 'Reform': 7}, ""Don't know"": {'All': 9, 'Con': 6, 'Lab': 7, 'Lib Dem': 8, 'Reform': 7}}","{'All': {'support': 72, 'oppose': 19}, 'Con': {'support': 81, 'oppose': 13}, 'Lab': {'support': 72, 'oppose': 20}, 'Lib Dem': {'support': 76, 'oppose': 17}, 'Reform': {'support': 74, 'oppose': 20}}",Technology,Age restrictions for social media,The U.K. SHOULD ban children under the age of 16 from having social media accounts.
"Do you support or oppose undergraduate tuition fees in England rising £285 per year to £9,535?",https://yougov.co.uk/topics/society/survey-results/daily/2024/11/05/a1fba/3,Conducted 5 November 2024,6520,"{'Strongly support': {'All': 8, 'Con': 10, 'Lab': 8, 'Lib Dem': 8, 'Reform': 11}, 'Somewhat support': {'All': 19, 'Con': 24, 'Lab': 24, 'Lib Dem': 22, 'Reform': 20}, 'Somewhat oppose': {'All': 21, 'Con': 23, 'Lab': 22, 'Lib Dem': 25, 'Reform': 21}, 'Strongly oppose': {'All': 31, 'Con': 27, 'Lab': 30, 'Lib Dem': 28, 'Reform': 31}, ""Don't know"": {'All': 21, 'Con': 16, 'Lab': 16, 'Lib Dem': 17, 'Reform': 17}}","{'All': {'support': 27, 'oppose': 52}, 'Con': {'support': 34, 'oppose': 50}, 'Lab': {'support': 32, 'oppose': 52}, 'Lib Dem': {'support': 30, 'oppose': 53}, 'Reform': {'support': 31, 'oppose': 52}}",Education,University tuition fees,"The U.K. SHOULD allow undergraduate tuition fees in England to rise by £285 per year to £9,535."
Would you support or oppose banning smoking in pub gardens and outdoor restaurants?,https://yougov.co.uk/topics/health/survey-results/daily/2024/08/29/a8ff1/1,Conducted 29 August 2024,3715,"{'Strongly support': {'All': 35, 'Con': 34, 'Lab': 40, 'Lib Dem': 35, 'Reform': 28}, 'Tend to support': {'All': 23, 'Con': 24, 'Lab': 27, 'Lib Dem': 30, 'Reform': 13}, 'Tend to oppose': {'All': 17, 'Con': 18, 'Lab': 16, 'Lib Dem': 14, 'Reform': 20}, 'Strongly oppose': {'All': 18, 'Con': 18, 'Lab': 11, 'Lib Dem': 14, 'Reform': 34}, 'Don’t know': {'All': 7, 'Con': 6, 'Lab': 6, 'Lib Dem': 6, 'Reform': 5}}","{'All': {'support': 35, 'oppose': 18}, 'Con': {'support': 34, 'oppose': 18}, 'Lab': {'support': 40, 'oppose': 11}, 'Lib Dem': {'support': 35, 'oppose': 14}, 'Reform': {'support': 28, 'oppose': 34}}",Health,Smoking bans in outdoor dining areas,The U.K. SHOULD ban smoking in pub gardens and outdoor restaurants.
Do you support or oppose a new law that says all tips must be passed onto employees?,https://yougov.co.uk/topics/economy/survey-results/daily/2024/10/02/db272/2,Conducted 2 October 2024,4153,"{'Strongly support': {'All': 67, 'Con': 69, 'Lab': 74, 'Lib Dem': 73, 'Reform': 73}, 'Tend to support': {'All': 22, 'Con': 24, 'Lab': 21, 'Lib Dem': 19, 'Reform': 18}, 'Tend to oppose': {'All': 2, 'Con': 1, 'Lab': 2, 'Lib Dem': 1, 'Reform': 2}, 'Strongly oppose': {'All': 2, 'Con': 1, 'Lab': 1, 'Lib Dem': 2, 'Reform': 1}, 'Don’t know': {'All': 7, 'Con': 5, 'Lab': 3, 'Lib Dem': 5, 'Reform': 5}}","{'All': {'support': 67, 'oppose': 2}, 'Con': {'support': 69, 'oppose': 1}, 'Lab': {'support': 74, 'oppose': 1}, 'Lib Dem': {'support': 73, 'oppose': 2}, 'Reform': {'support': 73, 'oppose': 1}}",Employment,Mandatory passing of tips to employees,The U.K. SHOULD implement a new law requiring all customer tips to be passed on to employees in full.
"Assuming the technology becomes available, would you support or oppose scientists recreating and reintroducing to the wild animals from species that went extinct in ancient times?",https://yougov.co.uk/topics/politics/survey-results/daily/2025/04/11/a5ba0/2,Conducted 11 April 2025,4821,"{'Strongly support': {'All': 8, 'Con': 6, 'Lab': 9, 'Lib Dem': 5, 'Reform': 13}, 'Somewhat support': {'All': 28, 'Con': 24, 'Lab': 31, 'Lib Dem': 35, 'Reform': 29}, 'Somewhat oppose': {'All': 24, 'Con': 29, 'Lab': 25, 'Lib Dem': 21, 'Reform': 18}, 'Strongly oppose': {'All': 19, 'Con': 24, 'Lab': 17, 'Lib Dem': 15, 'Reform': 23}, ""Don't know"": {'All': 21, 'Con': 16, 'Lab': 19, 'Lib Dem': 24, 'Reform': 16}}","{'All': {'support': 36, 'oppose': 43}, 'Con': {'support': 30, 'oppose': 53}, 'Lab': {'support': 40, 'oppose': 42}, 'Lib Dem': {'support': 40, 'oppose': 36}, 'Reform': {'support': 42, 'oppose': 41}}",Science,De-extinction of ancient species,"The U.K. SHOULD allow scientists to recreate and reintroduce to the wild animals from species that went extinct in ancient times, once the technology becomes available."
